[     623ms] [WARNING] Please ensure that the container has a non-static position, like 'relative', 'fixed', or 'absolute' to ensure scroll offset is calculated correctly. @ http://127.0.0.1:4321/node_modules/.vite/deps/framer-motion_dom.js?v=6c909e69:1092
[   21392ms] [WARNING] Please ensure that the container has a non-static position, like 'relative', 'fixed', or 'absolute' to ensure scroll offset is calculated correctly. @ http://127.0.0.1:4321/node_modules/.vite/deps/framer-motion_dom.js?v=6c909e69:1092
[   40048ms] [WARNING] Please ensure that the container has a non-static position, like 'relative', 'fixed', or 'absolute' to ensure scroll offset is calculated correctly. @ http://127.0.0.1:4321/node_modules/.vite/deps/framer-motion_dom.js?v=6c909e69:1092
[  105102ms] [WARNING] Please ensure that the container has a non-static position, like 'relative', 'fixed', or 'absolute' to ensure scroll offset is calculated correctly. @ http://127.0.0.1:4321/node_modules/.vite/deps/framer-motion_dom.js?v=6c909e69:1092
[  120277ms] [WARNING] Please ensure that the container has a non-static position, like 'relative', 'fixed', or 'absolute' to ensure scroll offset is calculated correctly. @ http://127.0.0.1:4321/node_modules/.vite/deps/framer-motion_dom.js?v=6c909e69:1092
[  217212ms] [WARNING] Please ensure that the container has a non-static position, like 'relative', 'fixed', or 'absolute' to ensure scroll offset is calculated correctly. @ http://127.0.0.1:4321/node_modules/.vite/deps/framer-motion_dom.js?v=6c909e69:1092
[  265711ms] [WARNING] Please ensure that the container has a non-static position, like 'relative', 'fixed', or 'absolute' to ensure scroll offset is calculated correctly. @ http://127.0.0.1:4321/node_modules/.vite/deps/framer-motion_dom.js?v=6c909e69:1092
[  287928ms] [WARNING] Please ensure that the container has a non-static position, like 'relative', 'fixed', or 'absolute' to ensure scroll offset is calculated correctly. @ http://127.0.0.1:4321/node_modules/.vite/deps/framer-motion_dom.js?v=6c909e69:1092
[  319577ms] [WARNING] Please ensure that the container has a non-static position, like 'relative', 'fixed', or 'absolute' to ensure scroll offset is calculated correctly. @ http://127.0.0.1:4321/node_modules/.vite/deps/framer-motion_dom.js?v=6c909e69:1092
[  565194ms] [WARNING] Please ensure that the container has a non-static position, like 'relative', 'fixed', or 'absolute' to ensure scroll offset is calculated correctly. @ http://127.0.0.1:4321/node_modules/.vite/deps/framer-motion_dom.js?v=6c909e69:1092
